start_id,end_id,start_coordinate,end_coordinate,linear_distance,spearman,p-value
197,308,"25.049845,121.571885","25.055672,121.567127",0.8044580270225034,0.04832205916940121,0.3911950765837574
197,309,"25.049845,121.571885","25.054470,121.556098",1.673383051850342,0.09392257917906112,0.09505201158011213
197,320,"25.049845,121.571885","25.051287,121.564262",0.7856373706145702,0.05295851696081452,0.34730248813104125
197,325,"25.049845,121.571885","25.058270,121.587070",1.7941007367224902,0.048355852923768615,0.3908634986247872
197,326,"25.049845,121.571885","25.045250,121.567090",0.7022928058730966,0.08664175935935728,0.12370304435278737
197,333,"25.049845,121.571885","25.047428,121.561182",1.112734334922461,0.08935345744863939,0.11233475713572914
197,337,"25.049845,121.571885","25.053010,121.575920",0.537309805465275,0.13780619084736495,0.014064821967459005
197,338,"25.049845,121.571885","25.045730,121.587940",1.6830309371911325,0.13411311836701517,0.01688573676309021
197,340,"25.049845,121.571885","25.051430,121.557160",1.4962176183272908,0.07357331791549929,0.19137161359997498
197,343,"25.049845,121.571885","25.049040,121.587550",1.5832629370926072,0.1529898626070838,0.006348216924996075
197,348,"25.049845,121.571885","25.058522,121.55942",1.5830067163580506,0.011784074616708926,0.8344576758322718
197,357,"25.049845,121.571885","25.034230,121.576360",1.7877082876006103,0.051563467036540786,0.36016874847817515
197,359,"25.049845,121.571885","25.056010,121.563580",1.0810528485785755,0.15614284382804944,0.005333472146200166
197,379,"25.049845,121.571885","25.042619,121.580762",1.2013220298142644,0.03756183927337121,0.5051792130632822
197,380,"25.049845,121.571885","25.064713,121.567899",1.6953823342301308,0.1510884151100592,0.007040692113310989
197,389,"25.049845,121.571885","25.038324,121.586245",1.9309861757154725,0.013209573319197102,0.814774677981633
197,392,"25.049845,121.571885","25.051489,121.565347",0.6844140666247388,-0.03078660442081876,0.5849944427549171
197,394,"25.049845,121.571885","25.038352,121.576248",1.3471038636080757,0.09236474524358385,0.10068914116409418
197,395,"25.049845,121.571885","25.036844,121.575413",1.4835212241221694,0.17278400220348292,0.0020189372333631428
197,396,"25.049845,121.571885","25.061501,121.563318",1.5538385863276691,0.04006065639193986,0.47725316744603874
