coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.984144,121.569064/25.001447,121.539037",途經106縣道,6.1 公里,22 分,6.1,22
"24.984144,121.569064/25.001447,121.539037",途經木新路三段,6.2 公里,21 分,6.2,21
"24.984144,121.569064/25.001447,121.539037",途經羅斯福路五段218巷,7.8 公里,24 分,7.8,24
"24.984144,121.569064/25.001545,121.536446",途經106縣道,5.7 公里,20 分,5.7,20
"24.984144,121.569064/25.001545,121.536446",途經木新路三段,5.8 公里,19 分,5.8,19
"24.984144,121.569064/25.001545,121.536446",途經木新路二段111巷,7.4 公里,23 分,7.4,23
"24.984707,121.563125/24.97848,121.55545",途經木新路三段,1.4 公里,6 分,1.4,6
"24.984707,121.563125/24.97848,121.55545",途經木新路三段155巷,1.5 公里,6 分,1.5,6
"24.984707,121.563125/24.97848,121.55545",途經木新路三段74巷,1.4 公里,6 分,1.4,6
"24.984707,121.563125/24.9856,121.54531",途經106縣道,2.8 公里,10 分,2.8,10
"24.984707,121.563125/24.9856,121.54531",途經光輝路,2.8 公里,10 分,2.8,10
"24.984707,121.563125/24.9856,121.54531",途經木新路三段74巷,4.5 公里,14 分,4.5,14
"24.984707,121.563125/24.986301,121.567855",途經忠順街二段,650 公尺,3 分,0.65,3
"24.984707,121.563125/24.986301,121.567855",途經忠順街二段和保儀路,600 公尺,2 分,0.6,2
"24.984707,121.563125/24.986301,121.567855",途經興隆路四段145巷,700 公尺,3 分,0.7,3
"24.984707,121.563125/24.98862,121.54361",途經106縣道,2.5 公里,8 分,2.5,8
"24.984707,121.563125/24.98862,121.54361",途經木新路三段74巷,4.8 公里,15 分,4.8,15
"24.984707,121.563125/24.98862,121.54361",途經木柵路一段,2.5 公里,9 分,2.5,9
"24.984707,121.563125/24.995563,121.547092",途經106縣道,4.2 公里,15 分,4.2,15
"24.984707,121.563125/24.995563,121.547092",途經景興路,6.4 公里,21 分,6.4,21
"24.984707,121.563125/24.995563,121.547092",途經興隆路三段,3.6 公里,14 分,3.6,14
"24.984707,121.563125/24.9966,121.540295",途經106縣道,3.9 公里,15 分,3.9,15
"24.984707,121.563125/24.9966,121.540295",途經106縣道和景文街,3.9 公里,15 分,3.9,15
"24.984707,121.563125/24.9966,121.540295",途經景文街,6.0 公里,21 分,6.0,21
"24.984707,121.563125/25.001447,121.539037",途經106縣道,5.2 公里,18 分,5.2,18
"24.984707,121.563125/25.001447,121.539037",途經羅斯福路五段218巷,7.4 公里,24 分,7.4,24
"24.984707,121.563125/25.001447,121.539037",途經興隆路三段,4.4 公里,17 分,4.4,17
"24.984707,121.563125/25.001545,121.536446",途經106縣道,4.8 公里,17 分,4.8,17
"24.984707,121.563125/25.001545,121.536446",途經木新路三段74巷,7.0 公里,23 分,7.0,23
"24.984707,121.563125/25.001545,121.536446",途經興隆路四段和106縣道,4.8 公里,17 分,4.8,17
"24.9856,121.54531/24.995563,121.547092",途經景興路,2.2 公里,8 分,2.2,8
"24.9856,121.54531/24.9966,121.540295",途經景文街,1.9 公里,8 分,1.9,8
"24.986301,121.567855/24.97848,121.55545",途經保儀路,1.8 公里,6 分,1.8,6
"24.986301,121.567855/24.97848,121.55545",途經保儀路、木新路三段和一壽街,1.8 公里,6 分,1.8,6
"24.986301,121.567855/24.97848,121.55545",途經保儀路和木新路三段,1.7 公里,6 分,1.7,6
"24.986301,121.567855/24.9856,121.54531",途經106縣道,3.3 公里,12 分,3.3,12
"24.986301,121.567855/24.9856,121.54531",途經保儀路,4.7 公里,14 分,4.7,14
"24.986301,121.567855/24.9856,121.54531",途經保儀路109巷,5.3 公里,16 分,5.3,16
"24.986301,121.567855/24.98862,121.54361",途經106縣道,3.0 公里,11 分,3.0,11
"24.986301,121.567855/24.98862,121.54361",途經保儀路,5.0 公里,16 分,5.0,16
"24.986301,121.567855/24.98862,121.54361",途經保儀路109巷,5.6 公里,18 分,5.6,18
"24.986301,121.567855/24.995563,121.547092",途經106縣道,4.7 公里,17 分,4.7,17
