coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.989902,121.569984/24.98862,121.54361",途經木柵路三段,6.2 公里,19 分,6.2,19
"24.989902,121.569984/24.995563,121.547092",途經景興路,7.8 公里,24 分,7.8,24
"24.989902,121.569984/24.995563,121.547092",途經興隆路三段,4.0 公里,15 分,4.0,15
"24.989902,121.569984/24.995563,121.547092",途經萬芳路,4.2 公里,16 分,4.2,16
"24.989902,121.569984/24.9966,121.540295",途經106縣道,4.4 公里,17 分,4.4,17
"24.989902,121.569984/24.9966,121.540295",途經景文街,7.5 公里,24 分,7.5,24
"24.989902,121.569984/24.996842,121.559651",途經木柵路三段和興隆路三段,2.0 公里,7 分,2.0,7
"24.989902,121.569984/24.996842,121.559651",途經興隆路三段,2.2 公里,8 分,2.2,8
"24.989902,121.569984/24.996842,121.559651",途經萬芳路,2.2 公里,8 分,2.2,8
"24.989902,121.569984/24.997659,121.578752",途經新光路二段,1.4 公里,6 分,1.4,6
"24.989902,121.569984/24.997996,121.57444",途經木柵路四段/106縣道,1.1 公里,4 分,1.1,4
"24.989902,121.569984/24.998811,121.56789",途經木柵路四段/106縣道和萬芳路,1.4 公里,6 分,1.4,6
"24.989902,121.569984/25.001447,121.539037",途經106縣道,5.7 公里,21 分,5.7,21
"24.989902,121.569984/25.001447,121.539037",途經羅斯福路五段218巷,8.8 公里,28 分,8.8,28
"24.989902,121.569984/25.001447,121.539037",途經興隆路三段,4.8 公里,17 分,4.8,17
"24.989902,121.569984/25.001545,121.536446",途經106縣道,5.3 公里,19 分,5.3,19
"24.989902,121.569984/25.001545,121.536446",途經木柵路三段,8.4 公里,26 分,8.4,26
"24.989902,121.569984/25.001545,121.536446",途經興隆路三段,4.9 公里,17 分,4.9,17
"24.989902,121.569984/25.005386,121.55716",途經106縣道,4.2 公里,16 分,4.2,16
"24.989902,121.569984/25.005386,121.55716",途經興隆路三段,3.4 公里,12 分,3.4,12
"24.989902,121.569984/25.005386,121.55716",途經萬芳路,3.6 公里,13 分,3.6,13
"24.993254,121.541059/24.97848,121.55545",途經景文街,5.0 公里,16 分,5.0,16
"24.993254,121.541059/24.980602,121.556177",途經景文街,5.1 公里,17 分,5.1,17
"24.993254,121.541059/24.980602,121.556177",途經辛亥路七段,4.4 公里,15 分,4.4,15
"24.993254,121.541059/24.984144,121.569064",途經106縣道,5.6 公里,20 分,5.6,20
"24.993254,121.541059/24.984144,121.569064",途經景文街,6.6 公里,21 分,6.6,21
"24.993254,121.541059/24.984707,121.563125",途經106縣道,4.7 公里,17 分,4.7,17
"24.993254,121.541059/24.984707,121.563125",途經忠順街一段,4.7 公里,16 分,4.7,16
"24.993254,121.541059/24.984707,121.563125",途經景文街,6.0 公里,20 分,6.0,20
"24.993254,121.541059/24.9856,121.54531",途經景文街,2.0 公里,7 分,2.0,7
"24.993254,121.541059/24.986301,121.567855",途經106縣道,5.2 公里,19 分,5.2,19
"24.993254,121.541059/24.986301,121.567855",途經景文街,6.3 公里,20 分,6.3,20
"24.993254,121.541059/24.987144,121.560627",途經106縣道,4.2 公里,15 分,4.2,15
"24.993254,121.541059/24.987144,121.560627",途經景華街,3.7 公里,14 分,3.7,14
"24.993254,121.541059/24.987507,121.549827",途經景文街,3.0 公里,10 分,3.0,10
"24.993254,121.541059/24.987507,121.549827",途經景美街和木柵路一段,1.9 公里,8 分,1.9,8
"24.993254,121.541059/24.988241,121.55561",途經景美街和木柵路一段,2.5 公里,10 分,2.5,10
"24.993254,121.541059/24.988241,121.55561",途經木柵路一段/106縣道,3.5 公里,12 分,3.5,12
"24.993254,121.541059/24.988363,121.576536",途經106縣道,6.1 公里,21 分,6.1,21
"24.993254,121.541059/24.988363,121.576536",途經景文街,7.6 公里,25 分,7.6,25
"24.993254,121.541059/24.988363,121.576536",途經景美街和景文街,7.9 公里,26 分,7.9,26
"24.993254,121.541059/24.98862,121.54361",途經景後街和景美街,1.3 公里,5 分,1.3,5
"24.993254,121.541059/24.98862,121.54361",途經景文街和景美街,1.2 公里,5 分,1.2,5
"24.993254,121.541059/24.98862,121.54361",途經景美街,1.1 公里,5 分,1.1,5
"24.993254,121.541059/24.989902,121.569984",途經106縣道,5.2 公里,18 分,5.2,18
"24.993254,121.541059/24.989902,121.569984",途經景文街,7.6 公里,24 分,7.6,24
"24.993254,121.541059/24.995563,121.547092",途經景華街,800 公尺,3 分,0.8,3
"24.993254,121.541059/24.9966,121.540295",途經羅斯福路六段/台9線,450 公尺,2 分,0.45,2
"24.993254,121.541059/24.996842,121.559651",途經景華街,2.6 公里,9 分,2.6,9
"24.993254,121.541059/24.996842,121.559651",途經興隆路二段,2.7 公里,10 分,2.7,10
"24.993254,121.541059/24.997659,121.578752",途經106縣道,6.4 公里,21 分,6.4,21
"24.993254,121.541059/24.997659,121.578752",途經新光路二段,8.5 公里,28 分,8.5,28
"24.993254,121.541059/24.997659,121.578752",途經萬芳路,5.7 公里,20 分,5.7,20
"24.993254,121.541059/24.997996,121.57444",途經106縣道,6.0 公里,20 分,6.0,20
"24.993254,121.541059/24.997996,121.57444",途經木柵路四段/106縣道,8.1 公里,25 分,8.1,25
"24.993254,121.541059/24.997996,121.57444",途經萬芳路,4.6 公里,17 分,4.6,17
"24.993254,121.541059/24.998811,121.56789",途經景華街,3.5 公里,13 分,3.5,13
"24.993254,121.541059/24.998811,121.56789",途經興隆路二段,3.6 公里,13 分,3.6,13
"24.993254,121.541059/24.999378,121.540197",途經羅斯福路六段/台9線,700 公尺,2 分,0.7,2
"24.993254,121.541059/24.999378,121.540197",途經羅斯福路六段159巷1弄和羅斯福路六段/台9線,750 公尺,3 分,0.75,3
"24.993254,121.541059/25.001447,121.539037",途經台9線,1.1 公里,5 分,1.1,5
"24.993254,121.541059/25.001447,121.539037",途經羅斯福路六段/台9線,1.3 公里,5 分,1.3,5
"24.993254,121.541059/25.001447,121.539037",途經羅斯福路六段/台9線和景福街3巷,1.3 公里,5 分,1.3,5
"24.993254,121.541059/25.001545,121.536446",途經羅斯福路六段/台9線,1.3 公里,4 分,1.3,4
"24.993254,121.541059/25.001545,121.536446",途經羅斯福路六段/台9線和萬隆街,1.2 公里,4 分,1.2,4
"24.993254,121.541059/25.001545,121.536446",途經羅斯福路六段142巷,1.2 公里,5 分,1.2,5
"24.993254,121.541059/25.004023,121.54074",途經台9線,1.5 公里,5 分,1.5,5
"24.993254,121.541059/25.004023,121.54074",途經台9線和興隆路一段,1.4 公里,5 分,1.4,5
"24.993254,121.541059/25.004023,121.54074",途經羅斯福路六段/台9線和興隆路一段70巷,1.3 公里,4 分,1.3,4
"24.993254,121.541059/25.005386,121.55716",途經興隆路二段,2.8 公里,11 分,2.8,11
"24.995563,121.547092/24.9966,121.540295",途經景華街,850 公尺,4 分,0.85,4
"24.995563,121.547092/24.9966,121.540295",途經景華街97巷,900 公尺,4 分,0.9,4
"24.996842,121.559651/24.97848,121.55545",途經106縣道和辛亥路七段,3.0 公里,10 分,3.0,10
"24.996842,121.559651/24.97848,121.55545",途經興隆路四段,2.7 公里,10 分,2.7,10
"24.996842,121.559651/24.984144,121.569064",途經106縣道,3.1 公里,10 分,3.1,10
"24.996842,121.559651/24.984144,121.569064",途經興隆路三段和興隆路四段,2.4 公里,10 分,2.4,10
"24.996842,121.559651/24.984144,121.569064",途經萬芳路,3.5 公里,12 分,3.5,12
"24.996842,121.559651/24.984707,121.563125",途經興隆路三段,1.7 公里,7 分,1.7,7
"24.996842,121.559651/24.984707,121.563125",途經興隆路三段和興隆路四段,1.6 公里,7 分,1.6,7
"24.996842,121.559651/24.9856,121.54531",途經106縣道,3.1 公里,10 分,3.1,10
"24.996842,121.559651/24.9856,121.54531",途經景興路,3.6 公里,14 分,3.6,14
"24.996842,121.559651/24.9856,121.54531",途經興隆路二段和景興路,3.9 公里,15 分,3.9,15
"24.996842,121.559651/24.986301,121.567855",途經興隆路三段,2.1 公里,8 分,2.1,8
"24.996842,121.559651/24.986301,121.567855",途經興隆路三段和興隆路四段,2.2 公里,10 分,2.2,10
"24.996842,121.559651/24.986301,121.567855",途經萬芳路,2.7 公里,10 分,2.7,10
"24.996842,121.559651/24.987144,121.560627",途經興隆路三段和興隆路四段,1.2 公里,5 分,1.2,5
"24.996842,121.559651/24.988241,121.55561",途經興隆路三段和106縣道,1.4 公里,5 分,1.4,5
"24.996842,121.559651/24.98862,121.54361",途經106縣道,2.8 公里,9 分,2.8,9
"24.996842,121.559651/24.98862,121.54361",途經景興路,3.0 公里,11 分,3.0,11
"24.996842,121.559651/24.98862,121.54361",途經興隆路三段和106縣道,3.6 公里,12 分,3.6,12
"24.996842,121.559651/24.995563,121.547092",途經仙岩路,1.8 公里,7 分,1.8,7
"24.996842,121.559651/24.995563,121.547092",途經仙岩路16巷,2.1 公里,9 分,2.1,9
"24.996842,121.559651/24.995563,121.547092",途經興隆路三段和興隆路二段,2.5 公里,9 分,2.5,9
"24.996842,121.559651/24.9966,121.540295",途經仙岩路,2.5 公里,10 分,2.5,10
"24.996842,121.559651/24.9966,121.540295",途經景華街,2.6 公里,10 分,2.6,10
"24.996842,121.559651/24.9966,121.540295",途經興隆路三段和興隆路二段,2.8 公里,11 分,2.8,11
"24.996842,121.559651/24.998811,121.56789",途經萬芳路,900 公尺,4 分,0.9,4
"24.996842,121.559651/25.001447,121.539037",途經景隆街,2.8 公里,12 分,2.8,12
"24.996842,121.559651/25.001447,121.539037",途經興隆路三段,2.9 公里,12 分,2.9,12
"24.996842,121.559651/25.001447,121.539037",途經興隆路三段和興隆路二段,2.8 公里,11 分,2.8,11
"24.996842,121.559651/25.001545,121.536446",途經景隆街,2.9 公里,11 分,2.9,11
"24.996842,121.559651/25.001545,121.536446",途經興隆路三段,3.1 公里,12 分,3.1,12
"24.996842,121.559651/25.001545,121.536446",途經興隆路二段,2.9 公里,11 分,2.9,11
"24.996842,121.559651/25.005386,121.55716",途經興隆路三段,1.5 公里,6 分,1.5,6
"24.996842,121.559651/25.005386,121.55716",途經興隆路三段和興德路,1.7 公里,7 分,1.7,7
"24.996842,121.559651/25.005386,121.55716",途經辛亥路四段,1.5 公里,7 分,1.5,7
"24.997659,121.578752/24.97848,121.55545",途經新光路二段,4.9 公里,15 分,4.9,15
"24.997659,121.578752/24.97848,121.55545",途經新光路二段和木新路二段,3.8 公里,12 分,3.8,12
"24.997659,121.578752/24.980602,121.556177",途經新光路二段,5.0 公里,15 分,5.0,15
"24.997659,121.578752/24.984144,121.569064",途經新光路二段,2.1 公里,7 分,2.1,7
"24.997659,121.578752/24.984144,121.569064",途經新光路二段和新光路一段,2.1 公里,8 分,2.1,8
"24.997659,121.578752/24.984144,121.569064",途經新光路二段和萬壽橋,2.8 公里,9 分,2.8,9
"24.997659,121.578752/24.984707,121.563125",途經新光路二段,2.5 公里,8 分,2.5,8
"24.997659,121.578752/24.984707,121.563125",途經新光路二段和木新路二段,2.8 公里,9 分,2.8,9
"24.997659,121.578752/24.9856,121.54531",途經106縣道,4.5 公里,14 分,4.5,14
"24.997659,121.578752/24.9856,121.54531",途經新光路二段,6.9 公里,20 分,6.9,20
"24.997659,121.578752/24.9856,121.54531",途經辛亥路七段,6.5 公里,21 分,6.5,21
"24.997659,121.578752/24.986301,121.567855",途經新光路二段,1.9 公里,6 分,1.9,6
"24.997659,121.578752/24.986301,121.567855",途經新光路二段和指南路一段,2.1 公里,8 分,2.1,8
"24.997659,121.578752/24.986301,121.567855",途經新光路二段和新光路一段,2.0 公里,8 分,2.0,8
"24.997659,121.578752/24.987144,121.560627",途經新光路二段和木柵路三段,2.5 公里,9 分,2.5,9
"24.997659,121.578752/24.987144,121.560627",途經新光路二段和秀明路一段/106縣道,2.6 公里,10 分,2.6,10
"24.997659,121.578752/24.987507,121.549827",途經106縣道,3.4 公里,11 分,3.4,11
"24.997659,121.578752/24.987507,121.549827",途經木柵路三段,3.9 公里,15 分,3.9,15
"24.997659,121.578752/24.988241,121.55561",途經新光路二段,3.7 公里,14 分,3.7,14
"24.997659,121.578752/24.988241,121.55561",途經新光路二段和106縣道,2.8 公里,9 分,2.8,9
"24.997659,121.578752/24.988241,121.55561",途經木柵路三段,3.1 公里,11 分,3.1,11
"24.997659,121.578752/24.988363,121.576536",途經新光路二段,1.8 公里,6 分,1.8,6
"24.997659,121.578752/24.988363,121.576536",途經新光路二段和指南路二段,1.8 公里,8 分,1.8,8
"24.997659,121.578752/24.988363,121.576536",途經新光路二段和秀明路二段,1.6 公里,5 分,1.6,5
"24.997659,121.578752/24.98862,121.54361",途經106縣道,4.2 公里,13 分,4.2,13
"24.997659,121.578752/24.98862,121.54361",途經新光路二段,7.2 公里,21 分,7.2,21
"24.997659,121.578752/24.98862,121.54361",途經木柵路一段,4.7 公里,17 分,4.7,17
"24.997659,121.578752/24.995563,121.547092",途經新光路二段,8.8 公里,27 分,8.8,27
"24.997659,121.578752/24.995563,121.547092",途經興隆路三段,5.3 公里,18 分,5.3,18
"24.997659,121.578752/24.995563,121.547092",途經萬芳路,5.2 公里,18 分,5.2,18
"24.997659,121.578752/24.9966,121.540295",途經106縣道,5.6 公里,19 分,5.6,19
"24.997659,121.578752/24.9966,121.540295",途經新光路二段,8.5 公里,26 分,8.5,26
"24.997659,121.578752/24.9966,121.540295",途經萬芳路,5.9 公里,20 分,5.9,20
"24.997659,121.578752/24.996842,121.559651",途經106縣道,3.3 公里,11 分,3.3,11
"24.997659,121.578752/24.996842,121.559651",途經木柵路三段,3.6 公里,13 分,3.6,13
"24.997659,121.578752/24.996842,121.559651",途經萬芳路,3.2 公里,10 分,3.2,10
"24.997659,121.578752/24.998811,121.56789",途經新光路二段和萬芳路,2.3 公里,8 分,2.3,8
"24.997659,121.578752/25.001447,121.539037",途經106縣道,6.9 公里,23 分,6.9,23
"24.997659,121.578752/25.001447,121.539037",途經新光路二段,9.8 公里,30 分,9.8,30
"24.997659,121.578752/25.001447,121.539037",途經萬芳路,6.0 公里,20 分,6.0,20
"24.997659,121.578752/25.001545,121.536446",途經106縣道,6.5 公里,21 分,6.5,21
"24.997659,121.578752/25.001545,121.536446",途經新光路二段,9.4 公里,28 分,9.4,28
"24.997659,121.578752/25.001545,121.536446",途經萬芳路,6.0 公里,20 分,6.0,20
"24.997659,121.578752/25.005386,121.55716",途經興隆路三段,4.7 公里,16 分,4.7,16
"24.997659,121.578752/25.005386,121.55716",途經萬寧街,5.7 公里,25 分,5.7,25
"24.997659,121.578752/25.005386,121.55716",途經萬芳路,4.6 公里,15 分,4.6,15
"24.997996,121.57444/24.97848,121.55545",途經木柵路四段/106縣道,4.5 公里,13 分,4.5,13
"24.997996,121.57444/24.97848,121.55545",途經木柵路四段/106縣道和木新路三段155巷,3.7 公里,11 分,3.7,11
"24.997996,121.57444/24.97848,121.55545",途經木柵路四段/106縣道和木新路二段,3.4 公里,11 分,3.4,11
"24.997996,121.57444/24.980602,121.556177",途經木柵路四段/106縣道,4.5 公里,14 分,4.5,14
"24.997996,121.57444/24.980602,121.556177",途經木柵路四段/106縣道、木新路二段和木新路三段,3.1 公里,10 分,3.1,10
"24.997996,121.57444/24.984144,121.569064",途經木柵路四段/106縣道,2.4 公里,8 分,2.4,8
"24.997996,121.57444/24.984144,121.569064",途經木柵路四段/106縣道和木新路二段,1.7 公里,6 分,1.7,6
"24.997996,121.57444/24.984707,121.563125",途經106縣道,2.5 公里,9 分,2.5,9
"24.997996,121.57444/24.984707,121.563125",途經木柵路四段/106縣道,2.1 公里,7 分,2.1,7
"24.997996,121.57444/24.984707,121.563125",途經木柵路四段/106縣道和木新路二段,2.4 公里,8 分,2.4,8
"24.997996,121.57444/24.9856,121.54531",途經106縣道,4.2 公里,13 分,4.2,13
"24.997996,121.57444/24.9856,121.54531",途經木柵路四段/106縣道,6.4 公里,19 分,6.4,19
"24.997996,121.57444/24.986301,121.567855",途經木柵路四段/106縣道和木柵路三段,1.6 公里,5 分,1.6,5
"24.997996,121.57444/24.987144,121.560627",途經106縣道,2.2 公里,9 分,2.2,9
"24.997996,121.57444/24.987507,121.549827",途經106縣道,3.1 公里,9 分,3.1,9
"24.997996,121.57444/24.987507,121.549827",途經萬芳路和106縣道,4.1 公里,13 分,4.1,13
"24.997996,121.57444/24.988241,121.55561",途經106縣道,2.5 公里,7 分,2.5,7
"24.997996,121.57444/24.988241,121.55561",途經木柵路四段/106縣道和木柵路三段,2.7 公里,10 分,2.7,10
"24.997996,121.57444/24.988363,121.576536",途經木柵路四段/106縣道,1.9 公里,7 分,1.9,7
"24.997996,121.57444/24.988363,121.576536",途經木柵路四段/106縣道和秀明路二段,1.8 公里,6 分,1.8,6
"24.997996,121.57444/24.988363,121.576536",途經木柵路四段/106縣道和萬壽橋,1.9 公里,7 分,1.9,7
"24.997996,121.57444/24.98862,121.54361",途經106縣道,3.8 公里,12 分,3.8,12
"24.997996,121.57444/24.98862,121.54361",途經木柵路四段/106縣道,6.7 公里,20 分,6.7,20
"24.997996,121.57444/24.995563,121.547092",途經106縣道和興隆路三段,5.0 公里,17 分,5.0,17
"24.997996,121.57444/24.995563,121.547092",途經萬芳路,4.1 公里,14 分,4.1,14
"24.997996,121.57444/24.9966,121.540295",途經景文街,8.0 公里,25 分,8.0,25
"24.997996,121.57444/24.9966,121.540295",途經萬芳路,4.8 公里,16 分,4.8,16
"24.997996,121.57444/24.9966,121.540295",途經萬芳路和興隆路三段,4.9 公里,17 分,4.9,17
"24.997996,121.57444/24.996842,121.559651",途經和平東路四段和萬芳路,2.2 公里,10 分,2.2,10
"24.997996,121.57444/24.996842,121.559651",途經萬芳路,2.1 公里,7 分,2.1,7
"24.997996,121.57444/24.997659,121.578752",途經106縣道和新光路二段,2.1 公里,6 分,2.1,6
"24.997996,121.57444/24.997659,121.578752",途經木柵路四段/106縣道和新光路二段,2.0 公里,7 分,2.0,7
"24.997996,121.57444/24.998811,121.56789",途經和平東路四段,1.4 公里,7 分,1.4,7
"24.997996,121.57444/24.998811,121.56789",途經木柵路四段/106縣道和萬芳路,1.2 公里,4 分,1.2,4
"24.997996,121.57444/25.001447,121.539037",途經木柵路四段/106縣道,9.3 公里,29 分,9.3,29
"24.997996,121.57444/25.001447,121.539037",途經萬芳路,4.9 公里,17 分,4.9,17
"24.997996,121.57444/25.001447,121.539037",途經萬芳路和興隆路二段,4.8 公里,16 分,4.8,16
"24.997996,121.57444/25.001545,121.536446",途經106縣道,6.1 公里,20 分,6.1,20
"24.997996,121.57444/25.001545,121.536446",途經木柵路四段/106縣道,8.9 公里,27 分,8.9,27
"24.997996,121.57444/25.001545,121.536446",途經萬芳路,5.0 公里,16 分,5.0,16
"24.997996,121.57444/25.005386,121.55716",途經106縣道和興隆路三段,4.4 公里,14 分,4.4,14
"24.997996,121.57444/25.005386,121.55716",途經萬芳路,3.5 公里,12 分,3.5,12
"24.997996,121.57444/25.005386,121.55716",途經萬芳路和興隆路三段,4.0 公里,15 分,4.0,15
"24.998811,121.56789/24.97848,121.55545",途經萬芳路,4.8 公里,15 分,4.8,15
"24.998811,121.56789/24.97848,121.55545",途經辛亥路七段,3.9 公里,14 分,3.9,14
"24.998811,121.56789/24.984144,121.569064",途經萬芳路,2.6 公里,9 分,2.6,9
"24.998811,121.56789/24.984707,121.563125",途經萬芳路,2.4 公里,9 分,2.4,9
"24.998811,121.56789/24.984707,121.563125",途經萬芳路和106縣道,2.8 公里,11 分,2.8,11
"24.998811,121.56789/24.9856,121.54531",途經106縣道,4.0 公里,14 分,4.0,14
"24.998811,121.56789/24.9856,121.54531",途經萬芳路,6.7 公里,20 分,6.7,20
"24.998811,121.56789/24.9856,121.54531",途經萬芳路和106縣道,4.4 公里,14 分,4.4,14
"24.998811,121.56789/24.986301,121.567855",途經萬芳路,1.8 公里,7 分,1.8,7
"24.998811,121.56789/24.986301,121.567855",途經萬芳路和指南路一段,2.5 公里,10 分,2.5,10
"24.998811,121.56789/24.987144,121.560627",途經萬芳路和106縣道,2.5 公里,10 分,2.5,10
"24.998811,121.56789/24.987144,121.560627",途經萬芳路和興隆路三段,2.0 公里,8 分,2.0,8
"24.998811,121.56789/24.98862,121.54361",途經106縣道,3.6 公里,12 分,3.6,12
"24.998811,121.56789/24.98862,121.54361",途經萬芳路,7.0 公里,21 分,7.0,21
"24.998811,121.56789/24.98862,121.54361",途經萬芳路和106縣道,4.1 公里,13 分,4.1,13
"24.998811,121.56789/24.995563,121.547092",途經萬芳路,2.9 公里,11 分,2.9,11
"24.998811,121.56789/24.9966,121.540295",途經興隆路二段,3.6 公里,13 分,3.6,13
"24.998811,121.56789/24.9966,121.540295",途經萬芳路,3.7 公里,14 分,3.7,14
"24.998811,121.56789/25.001447,121.539037",途經興隆路二段,3.6 公里,13 分,3.6,13
"24.998811,121.56789/25.001447,121.539037",途經萬芳路,3.7 公里,14 分,3.7,14
"24.998811,121.56789/25.001545,121.536446",途經興隆路二段,3.8 公里,13 分,3.8,13
"24.998811,121.56789/25.001545,121.536446",途經萬芳路,3.9 公里,14 分,3.9,14
"24.999378,121.540197/24.97848,121.55545",途經景文街,5.5 公里,18 分,5.5,18
"24.999378,121.540197/24.97848,121.55545",途經景福街,6.2 公里,20 分,6.2,20
"24.999378,121.540197/24.97848,121.55545",途經景興路,5.6 公里,19 分,5.6,19
"24.999378,121.540197/24.980602,121.556177",途經景文街,5.6 公里,19 分,5.6,19
"24.999378,121.540197/24.980602,121.556177",途經景福街,6.3 公里,20 分,6.3,20
"24.999378,121.540197/24.980602,121.556177",途經景興路,5.6 公里,19 分,5.6,19
"24.999378,121.540197/24.984144,121.569064",途經景文街,7.0 公里,23 分,7.0,23
"24.999378,121.540197/24.984144,121.569064",途經萬芳路,5.9 公里,20 分,5.9,20
"24.999378,121.540197/24.984707,121.563125",途經忠順街一段,5.2 公里,18 分,5.2,18
"24.999378,121.540197/24.984707,121.563125",途經景文街,6.5 公里,22 分,6.5,22
"24.999378,121.540197/24.984707,121.563125",途經興隆路二段和興隆路三段,4.0 公里,15 分,4.0,15
"24.999378,121.540197/24.9856,121.54531",途經景文街,2.4 公里,9 分,2.4,9
"24.999378,121.540197/24.9856,121.54531",途經景福街,3.2 公里,10 分,3.2,10
"24.999378,121.540197/24.986301,121.567855",途經106縣道,5.6 公里,21 分,5.6,21
"24.999378,121.540197/24.986301,121.567855",途經景文街,6.8 公里,22 分,6.8,22
"24.999378,121.540197/24.986301,121.567855",途經興隆路二段和興隆路三段,4.5 公里,16 分,4.5,16
"24.999378,121.540197/24.987144,121.560627",途經106縣道,4.7 公里,17 分,4.7,17
"24.999378,121.540197/24.987144,121.560627",途經景福街和106縣道,5.4 公里,18 分,5.4,18
"24.999378,121.540197/24.987144,121.560627",途經興隆路二段和興隆路三段,3.5 公里,13 分,3.5,13
"24.999378,121.540197/24.987507,121.549827",途經景文街,3.5 公里,12 分,3.5,12
"24.999378,121.540197/24.987507,121.549827",途經景福街,4.2 公里,14 分,4.2,14
"24.999378,121.540197/24.987507,121.549827",途經景美街和木柵路一段,2.4 公里,11 分,2.4,11
"24.999378,121.540197/24.988241,121.55561",途經景福街和木柵路一段/106縣道,4.7 公里,15 分,4.7,15
"24.999378,121.540197/24.988241,121.55561",途經景興路,4.1 公里,14 分,4.1,14
"24.999378,121.540197/24.988241,121.55561",途經木柵路一段/106縣道,4.0 公里,14 分,4.0,14
"24.999378,121.540197/24.988363,121.576536",途經景文街,8.1 公里,27 分,8.1,27
"24.999378,121.540197/24.988363,121.576536",途經景美街和景文街,8.4 公里,28 分,8.4,28
"24.999378,121.540197/24.988363,121.576536",途經萬芳路,5.3 公里,19 分,5.3,19
"24.999378,121.540197/24.98862,121.54361",途經景美街,1.6 公里,7 分,1.6,7
"24.999378,121.540197/24.98862,121.54361",途經景興路,1.9 公里,7 分,1.9,7
"24.999378,121.540197/24.98862,121.54361",途經景隆街和景興路,1.9 公里,7 分,1.9,7
"24.999378,121.540197/24.989902,121.569984",途經106縣道,5.7 公里,20 分,5.7,20
"24.999378,121.540197/24.989902,121.569984",途經景文街,8.1 公里,26 分,8.1,26
"24.999378,121.540197/24.989902,121.569984",途經萬芳路,4.6 公里,16 分,4.6,16
"24.999378,121.540197/24.995563,121.547092",途經景隆街,1.1 公里,4 分,1.1,4
"24.999378,121.540197/24.995563,121.547092",途經景隆街和景興路,1.2 公里,4 分,1.2,4
"24.999378,121.540197/24.995563,121.547092",途經羅斯福路六段159巷1弄,1.2 公里,4 分,1.2,4
"24.999378,121.540197/24.9966,121.540295",途經景福街3巷,450 公尺,2 分,0.45,2
"24.999378,121.540197/24.9966,121.540295",途經羅斯福路六段/台9線,450 公尺,2 分,0.45,2
"24.999378,121.540197/24.9966,121.540295",途經羅斯福路六段159巷1弄,500 公尺,3 分,0.5,3
"24.999378,121.540197/24.996842,121.559651",途經景華街,2.9 公里,11 分,2.9,11
"24.999378,121.540197/24.996842,121.559651",途經興隆路二段,2.4 公里,8 分,2.4,8
"24.999378,121.540197/24.996842,121.559651",途經興隆路二段203巷,2.8 公里,11 分,2.8,11
"24.999378,121.540197/24.997659,121.578752",途經106縣道,6.8 公里,23 分,6.8,23
"24.999378,121.540197/24.997659,121.578752",途經新光路二段,9.0 公里,30 分,9.0,30
"24.999378,121.540197/24.997659,121.578752",途經萬芳路,5.5 公里,19 分,5.5,19
"24.999378,121.540197/24.997996,121.57444",途經木柵路四段/106縣道,8.5 公里,27 分,8.5,27
"24.999378,121.540197/24.997996,121.57444",途經興隆路二段和萬芳路,4.4 公里,16 分,4.4,16
"24.999378,121.540197/24.998811,121.56789",途經興隆路二段和萬芳路,3.3 公里,12 分,3.3,12
"24.999378,121.540197/24.998811,121.56789",途經萬芳路,3.7 公里,15 分,3.7,15
"24.999378,121.540197/25.001447,121.539037",途經台9線,450 公尺,3 分,0.45,3
"24.999378,121.540197/25.001447,121.539037",途經羅斯福路六段/台9線,550 公尺,3 分,0.55,3
"24.999378,121.540197/25.001447,121.539037",途經萬隆街52巷,650 公尺,3 分,0.65,3
"24.999378,121.540197/25.001545,121.536446",途經台9線和羅斯福路五段218巷,650 公尺,3 分,0.65,3
"24.999378,121.540197/25.001545,121.536446",途經羅斯福路六段/台9線和萬隆街,550 公尺,3 分,0.55,3
"24.999378,121.540197/25.001545,121.536446",途經萬隆街,600 公尺,2 分,0.6,2
"24.999378,121.540197/25.004023,121.54074",途經台9線,650 公尺,2 分,0.65,2
"24.999378,121.540197/25.004023,121.54074",途經台9線和興隆路一段,800 公尺,3 分,0.8,3
"24.999378,121.540197/25.004023,121.54074",途經興隆路一段70巷,550 公尺,2 分,0.55,2
"24.999378,121.540197/25.005386,121.55716",途經興隆路二段,2.4 公里,9 分,2.4,9
"24.999378,121.540197/25.005386,121.55716",途經興隆路二段203巷和興隆路二段,2.8 公里,12 分,2.8,12
"24.999837,121.547778/24.97848,121.55545",途經景興路,5.5 公里,19 分,5.5,19
"24.999837,121.547778/24.97848,121.55545",途經景隆街,7.1 公里,22 分,7.1,22
"24.999837,121.547778/24.97848,121.55545",途經辛亥路七段,3.3 公里,14 分,3.3,14
"24.999837,121.547778/24.980602,121.556177",途經景興路,5.5 公里,19 分,5.5,19
"24.999837,121.547778/24.980602,121.556177",途經景隆街,7.1 公里,23 分,7.1,23
"24.999837,121.547778/24.980602,121.556177",途經辛亥路七段,3.3 公里,14 分,3.3,14
"24.999837,121.547778/24.984144,121.569064",途經景興路,7.0 公里,23 分,7.0,23
"24.999837,121.547778/24.984144,121.569064",途經萬芳路,5.0 公里,19 分,5.0,19
"24.999837,121.547778/24.984707,121.563125",途經忠順街一段,3.6 公里,15 分,3.6,15
"24.999837,121.547778/24.984707,121.563125",途經懷恩隧道,3.5 公里,15 分,3.5,15
