"25.007528,121.537188/25.004023,121.54074",途經羅斯福路五段/台9線,distance,800 公尺,4 分 800 公尺    途經羅斯福路五段/台9線 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.004023,121.54074/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.004023,121.54074",途經羅斯福路五段/台9線,trip duration,4 分,4 分 800 公尺    途經羅斯福路五段/台9線 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.004023,121.54074/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.004023,121.54074",途經汀州路四段,distance,1.3 公里,5 分 1.3 公里    途經汀州路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.004023,121.54074/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.004023,121.54074",途經汀州路四段,trip duration,5 分,5 分 1.3 公里    途經汀州路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.004023,121.54074/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.989902,121.569984",途經汀洲路四段,distance,9.1 公里,28 分 9.1 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.989902,121.569984/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.989902,121.569984",途經汀洲路四段,trip duration,28 分,28 分 9.1 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.989902,121.569984/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.989902,121.569984",途經106縣道,distance,6.7 公里,21 分 6.7 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.989902,121.569984/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.989902,121.569984",途經106縣道,trip duration,21 分,21 分 6.7 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.989902,121.569984/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997996,121.57444",途經汀洲路四段,distance,9.6 公里,28 分 9.6 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997996,121.57444/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997996,121.57444",途經汀洲路四段,trip duration,28 分,28 分 9.6 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997996,121.57444/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997996,121.57444",途經106縣道,distance,7.5 公里,23 分 7.5 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997996,121.57444/data=!3m1!4b1!4m2!4m1!3e1"
